Step          Temp         v_strain      v_sigmaxx      v_sigmayy        PotEng         KinEng           Lx             Ly
         0   329.57934      0             -3.8207003      0.53492662    -396.41399      2.0874722      12.26829       10.669733
       100   281.08093      0.002         -2.6443344      4.6992757     -395.55168      1.7802955      12.266181      10.691072
       200   322.64443      0.004          3.3443099      6.4881498     -396.21351      2.0435482      12.335689      10.712412
       300   331.06745      0.006          3.1574922      7.8770612     -396.4461       2.0968975      12.327252      10.733751
       400   347.07109      0.008         -5.2215969      10.586768     -395.79056      2.1982605      12.221341      10.755091
       500   252.44678      0.01          -2.5975388      11.386238     -395.643        1.598934       12.253354      10.77643
       600   271.64712      0.012          2.121496       13.514039     -395.95055      1.7205442      12.304118      10.797769
       700   318.3458       0.014          5.7091455      17.047605     -395.45825      2.0163218      12.336921      10.819109
       800   364.00113      0.016         -2.4819431      17.498328     -395.18652      2.3054911      12.241009      10.840448
       900   221.458        0.018         -4.6056916      18.969566     -395.22078      1.4026589      12.213566      10.861788
      1000   283.78053      0.02           4.0219936      21.056018     -395.55892      1.7973941      12.303719      10.883127
      1100   323.87637      0.022          0.73166154     22.97627      -395.44402      2.051351       12.270447      10.904467
      1200   343.43746      0.024         -6.1150632      24.420419     -394.82703      2.175246       12.190814      10.925806
      1300   381.60632      0.026          1.6221179      27.290994     -394.67556      2.4169979      12.265853      10.947146
      1400   254.11354      0.028          1.8569377      29.041526     -394.8346       1.6094909      12.269271      10.968485
      1500   300.32484      0.03          -9.0636253      28.591219     -394.772        1.9021816      12.145113      10.989825
      1600   314.80451      0.032          0.73092886     31.819645     -394.72239      1.9938922      12.241192      11.011164
      1700   318.93629      0.034          2.6208674      33.690645     -394.29872      2.0200618      12.26221       11.032504
      1800   274.50386      0.036         -7.2296323      34.951014     -394.04559      1.738638       12.149076      11.053843
      1900   302.67784      0.038          2.573523       37.937305     -393.40536      1.9170849      12.261754      11.075182
      2000   241.34504      0.04           1.1041504      39.591164     -393.19825      1.5286184      12.236791      11.096522
      2100   265.03395      0.042         -3.3491727      40.227387     -393.10653      1.678658       12.182035      11.117861
      2200   262.24492      0.044          3.8667978      42.4681       -392.98945      1.660993       12.261791      11.139201
      2300   255.32794      0.046         -9.0642651      42.753061     -392.47471      1.6171826      12.099651      11.16054
      2400   288.00571      0.048          1.2363718      45.437613     -393.09661      1.8241553      12.227435      11.18188
      2500   233.96816      0.05           1.217838       46.861952     -392.60349      1.4818951      12.229303      11.203219
      2600   294.25107      0.052         -2.9201099      47.838028     -392.25089      1.8637119      12.172304      11.224559
      2700   281.18413      0.054          2.290803       50.062204     -391.99465      1.7809491      12.232744      11.245898
      2800   258.59412      0.056         -7.8399199      50.631581     -391.4519       1.6378698      12.112587      11.267238
      2900   331.68447      0.058          5.3181622      53.470732     -391.58981      2.1008055      12.268712      11.288577
      3000   258.18948      0.06          -3.4184306      54.466676     -391.34652      1.6353069      12.149746      11.309917
      3100   280.13368      0.062          2.0674622      56.563841     -390.88495      1.7742959      12.214107      11.331256
      3200   293.63367      0.064         -3.3416982      57.410825     -390.64721      1.8598014      12.150418      11.352596
      3300   295.58983      0.066          4.3325733      59.548359     -390.36106      1.8721912      12.238992      11.373935
      3400   322.2528       0.068         -1.9247321      60.384142     -389.43         2.0410678      12.151949      11.395274
      3500   294.65677      0.07           3.3467852      62.497706     -389.37843      1.8662814      12.218511      11.416614
      3600   301.84125      0.072         -5.8422223      63.568824     -389.39599      1.9117861      12.100666      11.437953
      3700   306.93878      0.074          1.6355978      65.179385     -388.97591      1.9440726      12.190637      11.459293
      3800   304.03189      0.076         -4.6024476      66.370617     -388.54587      1.9256611      12.10773       11.480632
      3900   281.15647      0.078          5.4527083      67.607752     -387.86243      1.780774       12.235757      11.501972
      4000   257.53626      0.08          -3.0157611      68.447127     -387.6381       1.6311696      12.135252      11.523311
      4100   329.45969      0.082          0.74546403     70.598684     -387.41424      2.0867144      12.176251      11.544651
