# distance  E_q05  E_q50  E_q95  F_q05  F_q50  F_q95
1.00000000  5.55114856e-02  6.94352533e-02  8.24574591e-02  -3.17778735e-01  -1.07797850e-02  1.72388308e-01
1.10000000  3.84830653e-02  5.65691954e-02  7.00618564e-02  -1.40382278e-01  2.90587300e-02  1.68219350e-01
1.18000000  2.37611869e-02  3.64756484e-02  4.80530775e-02  -2.90327205e-01  1.53889400e-01  5.11654751e-01
1.20000000  2.22231564e-02  3.20031564e-02  4.22339238e-02  -2.81183042e-01  1.61587520e-01  5.12150072e-01
1.22000000  2.10903907e-02  2.82986752e-02  3.93587440e-02  -1.24278064e-01  1.52025655e-01  4.37396742e-01
1.34000000  3.54617056e-03  8.31819241e-03  2.25367502e-02  -1.14619977e-01  2.58668000e-02  2.00873264e-01
1.48000000  -1.13723367e-02  -6.20297017e-03  3.91734873e-03  -1.72923690e-01  -5.49984000e-03  2.47263798e-01
1.50000000  -1.34109012e-02  -7.13113963e-03  5.50681078e-03  -1.30921966e-01  6.91868500e-03  2.56051628e-01
1.56000000  -1.53306967e-02  -7.85371953e-03  5.00215915e-03  -1.86945136e-01  5.08052150e-02  1.66560057e-01
1.58000000  -1.50676415e-02  -7.43866773e-03  2.44591081e-03  -2.38906731e-01  6.11158650e-02  2.03340451e-01
1.68000000  -7.79358893e-03  -3.51139966e-03  6.37900829e-03  -1.14480830e-02  9.75423400e-02  2.55293272e-01
1.74000000  -2.97433383e-03  1.50304630e-03  1.13628566e-02  -7.68594890e-02  7.86949350e-02  2.14944166e-01
1.76000000  -1.66125513e-03  2.75694027e-03  1.26493993e-02  -1.09084201e-01  7.24292450e-02  1.93758062e-01
1.86000000  6.14782167e-03  1.07442864e-02  2.64352837e-02  -4.60020350e-02  3.89768150e-02  1.50194427e-01
1.94000000  1.10456952e-02  1.59721425e-02  2.79167032e-02  -1.07192732e-01  6.34020000e-03  1.09649548e-01
2.02000000  1.49507005e-02  1.93280900e-02  2.93617639e-02  -1.28811691e-01  8.74488500e-03  1.45380827e-01
2.04000000  1.61784400e-02  2.01256135e-02  3.04601768e-02  -1.10963499e-01  1.64054900e-02  1.44218236e-01
2.08000000  1.72895766e-02  2.17021989e-02  3.18814597e-02  -9.09153175e-02  2.39361200e-02  1.50305118e-01
2.10000000  1.76104428e-02  2.27203142e-02  3.29074554e-02  -5.83040655e-02  2.91272250e-02  1.33364798e-01
2.26000000  2.42810418e-02  2.88290091e-02  3.71706758e-02  -8.08338320e-02  6.21434100e-02  1.51010547e-01
2.40000000  2.74128252e-02  3.22605890e-02  4.16176664e-02  -4.98624625e-02  3.94312200e-02  1.87613612e-01
2.42000000  2.80626732e-02  3.27893551e-02  4.28005075e-02  -5.05566620e-02  3.69995650e-02  1.95586474e-01
2.92000000  2.80194055e-02  3.27001437e-02  4.27259236e-02  -5.02841275e-02  8.65561150e-02  2.06985816e-01
2.98000000  2.57918592e-02  3.25556746e-02  4.43910013e-02  -8.26442040e-02  7.91567000e-02  2.23938317e-01
3.06000000  2.32662369e-02  2.95189430e-02  4.62070903e-02  -8.96525135e-02  6.69377950e-02  2.86921610e-01
3.46000000  8.10782119e-03  1.45151990e-02  2.89087463e-02  -6.61035665e-02  1.18439400e-01  2.43171170e-01
3.62000000  6.15293197e-03  1.37525343e-02  3.47188433e-02  3.54381635e-02  1.33045475e-01  4.68609679e-01
3.72000000  7.53821378e-03  1.45308985e-02  3.95805019e-02  1.51097320e-02  1.22361240e-01  4.20145957e-01
4.00000000  2.78106636e-03  1.47591441e-02  4.74930187e-02  3.80207495e-02  1.29011500e-01  2.76895332e-01
4.08000000  2.78842779e-03  1.54247783e-02  5.62681908e-02  4.00555640e-02  1.63999915e-01  3.58865264e-01
4.10000000  3.14192745e-03  1.65199607e-02  5.94022429e-02  3.03440060e-02  1.62153395e-01  3.69740923e-01
4.16000000  5.11591318e-03  1.90798040e-02  7.02649909e-02  2.95008940e-02  1.87954920e-01  3.99249017e-01
4.18000000  5.96237004e-03  2.02462667e-02  7.38025414e-02  4.84477160e-02  1.98702240e-01  3.88500033e-01
4.32000000  1.07308054e-02  2.91117848e-02  8.25573643e-02  -1.21095307e-01  1.94792425e-01  3.37001363e-01
4.34000000  1.13796463e-02  3.01620032e-02  8.09567059e-02  -1.38589882e-01  1.88880400e-01  3.36462860e-01
4.42000000  1.52834654e-02  3.40221324e-02  7.50809334e-02  -2.21420547e-01  1.37630175e-01  2.43237349e-01
4.52000000  2.05730239e-02  3.49015039e-02  6.59359114e-02  -2.36351866e-01  5.23939200e-02  1.85446925e-01
4.60000000  2.26808088e-02  3.41172994e-02  5.29434979e-02  -2.84569578e-01  -1.42833200e-02  1.26895569e-01
4.64000000  2.32129451e-02  3.23960043e-02  4.73790250e-02  -2.89411637e-01  -3.76844150e-02  7.83417260e-02
4.68000000  2.31919831e-02  3.04421714e-02  4.19077113e-02  -2.63387117e-01  -6.06335200e-02  4.03252360e-02
4.96000000  1.61746873e-02  1.61964379e-02  1.62216461e-02  -5.82297980e-02  -5.43219650e-02  -5.10382050e-02
