# distance  E_q05  E_q50  E_q95  F_q05  F_q50  F_q95
1.00000000  6.82566871e-03  7.03074446e-02  1.96744501e-01  -6.49162440e-01  7.35269450e-02  8.51430392e-01
1.10000000  8.21456107e-03  6.08599449e-02  1.90366672e-01  -3.14876807e-01  1.26494800e-02  6.39333430e-01
1.18000000  -3.55921032e-03  3.54880029e-02  1.63273461e-01  -6.04977044e-01  -1.57274250e-02  5.64603470e-01
1.20000000  -4.61865606e-03  2.97376073e-02  1.40407654e-01  -5.41060381e-01  3.10827450e-02  5.97901294e-01
1.22000000  -1.06538508e-02  2.49287752e-02  1.38877462e-01  -3.82558118e-01  9.69791400e-02  5.43162184e-01
1.34000000  -3.35397873e-02  6.72007862e-03  1.30095371e-01  -3.54876398e-01  1.10492310e-01  4.55945901e-01
1.48000000  -3.99045279e-02  -7.22540813e-03  1.09698303e-01  -4.62124901e-01  -9.04939500e-03  2.80257658e-01
1.50000000  -4.21437297e-02  -8.38353727e-03  1.14220073e-01  -4.23531469e-01  1.42866800e-02  3.19354149e-01
1.56000000  -3.59988240e-02  -9.24280561e-03  1.15302228e-01  -3.33241093e-01  8.49449800e-02  5.75047152e-01
1.58000000  -3.44486091e-02  -8.64451222e-03  1.07767425e-01  -3.73546369e-01  9.03025300e-02  6.24623876e-01
1.68000000  -2.51242492e-02  -3.57583933e-03  1.06660888e-01  -2.05193946e-01  8.72774400e-02  5.43979305e-01
1.74000000  -1.68970147e-02  -2.29860726e-04  1.33610522e-01  -2.31278812e-01  5.12386900e-02  4.63283259e-01
1.76000000  -1.37530703e-02  1.07630739e-03  1.41738965e-01  -3.13080709e-01  4.24405400e-02  4.71255173e-01
1.86000000  -5.34399273e-03  1.01190772e-02  1.38932550e-01  -2.26816714e-01  1.12496525e-01  4.04612117e-01
1.94000000  3.24476341e-04  1.77119406e-02  1.54438692e-01  -1.79733130e-01  4.61605750e-02  3.12824587e-01
2.02000000  5.23273606e-03  2.15878815e-02  1.45855479e-01  -2.91970190e-01  -1.69620200e-02  2.50717096e-01
2.04000000  6.17278159e-03  2.20280414e-02  1.46475608e-01  -3.51763901e-01  -1.35058950e-02  2.88064141e-01
2.08000000  9.89562669e-03  2.30904479e-02  1.59408007e-01  -4.33189631e-01  1.03604850e-02  2.67388078e-01
2.10000000  1.07828861e-02  2.38823181e-02  1.57310931e-01  -3.97108191e-01  7.71934500e-03  2.78187655e-01
2.26000000  9.71083825e-03  2.81603621e-02  1.63046747e-01  -3.23868556e-01  2.11469150e-02  2.19055440e-01
2.40000000  1.25277885e-02  3.01212861e-02  1.62424951e-01  -2.53594366e-01  5.25363350e-02  5.85260343e-01
2.42000000  1.27671167e-02  3.04451205e-02  1.62754365e-01  -2.27888994e-01  5.08485700e-02  5.27930335e-01
2.92000000  1.61434522e-02  3.50549401e-02  1.54161243e-01  -2.66785948e-01  9.21506050e-02  3.50342946e-01
2.98000000  1.28661475e-02  3.44115987e-02  1.49724435e-01  -2.76619883e-01  9.65698000e-02  3.87491559e-01
3.06000000  1.08340969e-02  3.26968565e-02  1.42919105e-01  -3.07679554e-01  5.20024750e-02  3.97136268e-01
3.46000000  -1.16119823e-02  1.66389515e-02  1.13358084e-01  -3.46266060e-02  1.64278140e-01  3.69656524e-01
3.62000000  -8.80414721e-03  1.62523916e-02  1.16186011e-01  -3.80281295e-01  1.02306380e-01  3.50713377e-01
3.72000000  -1.36566937e-02  1.66146198e-02  1.11043908e-01  -4.13963332e-01  5.93721600e-02  3.36922465e-01
4.00000000  -3.41170612e-02  1.47596033e-02  7.83718130e-02  -2.25045436e-01  9.37298900e-02  4.15744283e-01
4.08000000  -3.78433091e-02  1.84784981e-02  6.95923324e-02  -1.96859008e-01  1.29514860e-01  4.71944065e-01
4.10000000  -3.84192563e-02  1.82280647e-02  6.53083171e-02  -2.24903596e-01  1.29956665e-01  4.75347021e-01
4.16000000  -3.03808404e-02  1.81571714e-02  7.10412974e-02  -3.22819747e-01  1.38468680e-01  5.08160831e-01
4.18000000  -3.10983404e-02  1.86139276e-02  7.09825742e-02  -3.14295328e-01  1.46744220e-01  5.29728638e-01
4.32000000  -1.98676200e-02  2.40618792e-02  6.84669031e-02  -1.79087521e-01  1.48874120e-01  5.03707445e-01
4.34000000  -1.72294747e-02  2.52562949e-02  6.39292434e-02  -2.16662810e-01  1.61142630e-01  5.20933518e-01
4.42000000  -5.94041661e-03  2.88596156e-02  6.02301419e-02  -2.25279379e-01  1.77055650e-01  4.23580772e-01
4.52000000  7.13708500e-03  3.14779999e-02  5.37765633e-02  -2.66806498e-01  1.00278250e-01  3.13417962e-01
4.60000000  1.31053451e-02  3.05968980e-02  4.56339821e-02  -2.17364010e-01  2.29669500e-02  2.22119129e-01
4.64000000  1.76898081e-02  3.01157212e-02  4.19440688e-02  -1.88601135e-01  -3.14402500e-03  1.78432189e-01
4.68000000  1.97594170e-02  2.84956566e-02  3.72808767e-02  -1.96012343e-01  -2.71061050e-02  1.25410537e-01
4.96000000  1.61675609e-02  1.61954031e-02  1.62141101e-02  -5.69939420e-02  -5.41679200e-02  -5.00519495e-02
