# distance  E_q05  E_q50  E_q95  F_q05  F_q50  F_q95
1.00000000  5.34350812e-02  5.92699453e-02  6.34188138e-02  -3.21970072e-01  -1.72053495e-01  -9.73390360e-02
1.10000000  3.46831519e-02  4.35469356e-02  4.89652126e-02  7.80505185e-02  1.18683740e-01  1.73296730e-01
1.18000000  2.52736226e-02  2.95418861e-02  3.22163719e-02  2.23175728e-01  3.19793675e-01  4.67056203e-01
1.20000000  2.40368594e-02  2.70926860e-02  2.92344283e-02  2.33910709e-01  3.26900550e-01  4.97225144e-01
1.22000000  2.31791826e-02  2.48730857e-02  2.72980673e-02  2.26460026e-01  3.09494400e-01  4.89928079e-01
1.34000000  8.06266983e-03  1.03885784e-02  1.82105435e-02  -4.55912900e-03  1.27246750e-02  5.83951585e-02
1.48000000  -1.10105892e-02  -9.19243325e-03  -2.57621198e-03  -1.91081745e-01  -7.95965650e-02  -3.53273070e-02
1.50000000  -1.26963664e-02  -1.08657420e-02  -6.06341256e-03  -1.52107236e-01  -5.48437500e-02  -1.27836420e-02
1.56000000  -1.53872636e-02  -1.31352752e-02  -1.09115972e-02  -4.56572400e-02  4.49270050e-02  6.74578925e-02
1.58000000  -1.50931721e-02  -1.28457177e-02  -1.05391865e-02  -4.13185850e-03  7.32273450e-02  9.19912665e-02
1.68000000  -7.57803561e-03  -5.67988714e-03  -3.66655379e-03  1.27186024e-01  1.65976835e-01  2.32305798e-01
1.74000000  -9.27148869e-05  1.36459776e-03  3.51523266e-03  1.11771642e-01  1.51895150e-01  2.25374567e-01
1.76000000  2.04727676e-03  3.74955967e-03  6.19140881e-03  9.71844145e-02  1.34492730e-01  2.11493806e-01
1.86000000  1.07534624e-02  1.33302786e-02  1.87271946e-02  1.52428780e-02  2.95827000e-02  5.85045160e-02
1.94000000  1.47167542e-02  1.69547764e-02  2.15687294e-02  -9.06488600e-02  -4.52665350e-02  -1.82130130e-02
2.02000000  1.65252221e-02  1.78294452e-02  2.05532922e-02  -1.19302710e-01  -5.34628350e-02  -1.57451535e-02
2.04000000  1.66195457e-02  1.80088081e-02  1.99761404e-02  -9.93861585e-02  -3.77712850e-02  -7.83785000e-04
2.08000000  1.75709537e-02  1.85035787e-02  2.00040182e-02  -5.89951705e-02  -9.18355000e-03  2.14725710e-02
2.10000000  1.79818519e-02  1.90059529e-02  2.06024697e-02  -4.09550915e-02  6.54863000e-03  3.22453315e-02
2.26000000  2.49567611e-02  2.65659961e-02  2.84315228e-02  8.41145680e-02  1.05083210e-01  1.45644078e-01
2.40000000  3.04022006e-02  3.22031720e-02  3.51244700e-02  2.17102625e-02  4.15697700e-02  6.97272925e-02
2.42000000  3.06237554e-02  3.23925638e-02  3.53636547e-02  9.57566050e-03  2.90448750e-02  5.15817465e-02
2.92000000  2.95701068e-02  3.14087669e-02  3.41906145e-02  1.05860956e-01  1.33899665e-01  1.82181754e-01
2.98000000  2.98201081e-02  3.15807998e-02  3.45025466e-02  7.71758880e-02  1.05724315e-01  1.51641806e-01
3.06000000  2.68657203e-02  2.91248167e-02  3.36023655e-02  1.97102790e-02  5.14187600e-02  8.93142935e-02
3.46000000  5.46164912e-03  7.91927613e-03  1.16251581e-02  1.10302859e-01  1.27921200e-01  1.49654520e-01
3.62000000  6.25623537e-03  8.83375244e-03  1.38777975e-02  1.17552176e-01  1.42903555e-01  2.06802794e-01
3.72000000  6.88647585e-03  9.57207742e-03  1.80766454e-02  8.57633030e-02  1.10964445e-01  1.80017389e-01
4.00000000  2.22164812e-03  5.57517960e-03  1.70387817e-02  3.95978965e-02  6.47655400e-02  8.89328190e-02
4.08000000  8.74037594e-04  5.02280652e-03  1.34324594e-02  4.45970750e-02  8.09722900e-02  1.05701949e-01
4.10000000  5.02712384e-04  4.94901960e-03  1.32471769e-02  4.26849395e-02  8.20342050e-02  1.09903081e-01
4.16000000  3.57483596e-04  5.17903352e-03  1.37845536e-02  5.82477785e-02  1.05099225e-01  1.33518348e-01
4.18000000  4.51150097e-04  5.37573228e-03  1.40427720e-02  6.92243505e-02  1.17984905e-01  1.46520842e-01
4.32000000  3.66633928e-03  1.00326983e-02  1.72352282e-02  1.23384530e-01  1.59414060e-01  1.74235084e-01
4.34000000  4.53588983e-03  1.08067007e-02  1.79062211e-02  1.25639664e-01  1.62848310e-01  1.76506666e-01
4.42000000  8.90868905e-03  1.42489177e-02  2.09684224e-02  1.28534427e-01  1.64364150e-01  1.85283751e-01
4.52000000  1.45235696e-02  1.90477879e-02  2.45605096e-02  1.01921719e-01  1.37996885e-01  1.67663566e-01
4.60000000  1.84695717e-02  2.16843069e-02  2.57994595e-02  6.04977495e-02  9.89347750e-02  1.29886768e-01
4.64000000  1.98396383e-02  2.24517440e-02  2.60718786e-02  3.92817475e-02  7.60594800e-02  1.07155351e-01
4.68000000  2.07304094e-02  2.28016757e-02  2.56456706e-02  1.42795275e-02  4.84070950e-02  7.78435640e-02
4.96000000  1.61702333e-02  1.61783535e-02  1.61895281e-02  -5.32437480e-02  -5.16114850e-02  -5.04252040e-02
