# distance  E_q05  E_q50  E_q95  F_q05  F_q50  F_q95
1.00000000  5.45840692e-02  6.93801977e-02  8.24060199e-02  -3.17353327e-01  -1.07704700e-02  1.71880022e-01
1.10000000  3.86120140e-02  5.65470652e-02  7.00243431e-02  -1.40063162e-01  3.03235300e-02  1.77145301e-01
1.18000000  2.37839918e-02  3.64492001e-02  4.80426062e-02  -2.88683270e-01  1.53388750e-01  5.10885887e-01
1.20000000  2.22520606e-02  3.19640238e-02  4.22010389e-02  -2.80594355e-01  1.60351420e-01  5.10905138e-01
1.22000000  2.11752411e-02  2.82851812e-02  3.93059014e-02  -1.21490889e-01  1.51481300e-01  4.36986541e-01
1.34000000  3.49891454e-03  8.31670807e-03  2.24969699e-02  -1.27160911e-01  2.45144300e-02  2.00283119e-01
1.48000000  -1.16668030e-02  -6.30633429e-03  3.88493612e-03  -1.72808200e-01  -4.77994000e-03  2.46881072e-01
1.50000000  -1.34901111e-02  -7.19726028e-03  5.48549024e-03  -1.30248171e-01  9.71952000e-03  2.55789502e-01
1.56000000  -1.57355980e-02  -7.91957030e-03  4.92267943e-03  -1.84572094e-01  5.09855700e-02  1.65822621e-01
1.58000000  -1.51317650e-02  -7.46133767e-03  2.23470256e-03  -2.38399734e-01  6.16063100e-02  2.02968097e-01
1.68000000  -7.89959788e-03  -3.51274906e-03  6.33615132e-03  -1.06951620e-02  9.77860900e-02  2.55060238e-01
1.74000000  -3.19967031e-03  1.50196678e-03  1.13215177e-02  -7.56571660e-02  7.87288300e-02  2.14936531e-01
1.76000000  -1.78279569e-03  2.73764383e-03  1.25305171e-02  -1.08787801e-01  7.30389300e-02  1.92662451e-01
1.86000000  6.15281445e-03  1.07275539e-02  2.64141791e-02  -4.58374200e-02  3.89559100e-02  1.50173888e-01
1.94000000  1.10516056e-02  1.59250484e-02  2.77856089e-02  -1.07062578e-01  6.19735000e-03  1.09353805e-01
2.02000000  1.48987081e-02  1.93151358e-02  2.90490402e-02  -1.28244187e-01  7.52028000e-03  1.45379541e-01
2.04000000  1.61371619e-02  2.00930929e-02  3.01906879e-02  -1.10811676e-01  1.52841000e-02  1.43825867e-01
2.08000000  1.72207031e-02  2.16922134e-02  3.16542475e-02  -9.08443250e-02  2.35905800e-02  1.49994385e-01
2.10000000  1.75541593e-02  2.26935960e-02  3.27306029e-02  -5.79151670e-02  2.92175900e-02  1.33297922e-01
2.26000000  2.40541265e-02  2.88177416e-02  3.71113898e-02  -8.05640280e-02  6.18251300e-02  1.50925865e-01
2.40000000  2.70321592e-02  3.22516155e-02  4.15977425e-02  -4.98624250e-02  3.92354100e-02  1.87495198e-01
2.42000000  2.79834363e-02  3.27450948e-02  4.27373285e-02  -5.04419380e-02  3.68007000e-02  1.95460169e-01
2.92000000  2.80321472e-02  3.26704232e-02  4.26555861e-02  -5.01186850e-02  8.65431800e-02  2.06893824e-01
2.98000000  2.56682811e-02  3.25445758e-02  4.42839600e-02  -8.43895440e-02  7.89814800e-02  2.23334598e-01
3.06000000  2.30422498e-02  2.95007599e-02  4.61684738e-02  -9.16043050e-02  6.61966800e-02  2.86801400e-01
3.46000000  7.97193988e-03  1.44956833e-02  2.88261824e-02  -6.58832310e-02  1.19047510e-01  2.42954093e-01
3.62000000  5.91017050e-03  1.37280300e-02  3.46295429e-02  3.54962690e-02  1.31677780e-01  4.67408073e-01
3.72000000  7.37233107e-03  1.44777574e-02  3.91181250e-02  6.18019300e-03  1.21079450e-01  4.19318758e-01
4.00000000  2.56139357e-03  1.42142222e-02  4.69731329e-02  3.10257290e-02  1.28293910e-01  2.76862308e-01
4.08000000  2.76935401e-03  1.53512064e-02  5.57952036e-02  4.00815060e-02  1.63964410e-01  3.58594109e-01
4.10000000  3.07188131e-03  1.64700539e-02  5.89670598e-02  3.03545740e-02  1.61844250e-01  3.69721482e-01
4.16000000  4.96724334e-03  1.86917542e-02  6.99000252e-02  2.96683960e-02  1.88716560e-01  3.98937791e-01
4.18000000  5.50987792e-03  2.00727928e-02  7.34182390e-02  4.91907140e-02  1.98758730e-01  3.86976592e-01
4.32000000  1.01280208e-02  2.89463988e-02  8.25444522e-02  -1.21086638e-01  1.94993640e-01  3.39102783e-01
4.34000000  1.11151362e-02  3.01611388e-02  8.09444016e-02  -1.37514641e-01  1.89393060e-01  3.39205049e-01
4.42000000  1.45516091e-02  3.39101706e-02  7.50570531e-02  -2.19626485e-01  1.37667350e-01  2.59658552e-01
4.52000000  2.02068304e-02  3.48289087e-02  6.59241521e-02  -2.33611154e-01  5.37965000e-02  1.87185519e-01
4.60000000  2.25734557e-02  3.39634691e-02  5.27182705e-02  -2.84237225e-01  -1.37899100e-02  1.33767592e-01
4.64000000  2.29460159e-02  3.23841778e-02  4.73339796e-02  -2.88882361e-01  -3.74306300e-02  8.52579340e-02
4.68000000  2.29775943e-02  3.03924878e-02  4.18634292e-02  -2.61607481e-01  -5.96373100e-02  4.38666920e-02
4.96000000  1.61747242e-02  1.61963508e-02  1.62216012e-02  -5.82289820e-02  -5.42841000e-02  -5.10384600e-02
